id,for_fornecedor,for_fone,for_obs
235,Farmacia do Trabalhador,,
236,Farmacia do Povo,,
237,Estação Games,,Shopping
238,A Portela,,Shopping Salvador
239,ARF Com. Bijuterias,,
240,Boteco do Caraguejo,,
241,Hort Fruit do Vado,,
242,Bolsas e Cia,,
243,Mara Beach,,
244,Farmárcia Confiança,,
245,UNIFACS,,
246,IFBA,,
247,Madri Importados,,
248,Super Lar Supermercado,,Guaibim
249,Barraca da Jivanete,,
250,Cabana Nativa,,
251,Casa do Churrasco,,
252,Provas de TI,,
253,FUNRIO,,
254,Conect & Instale,,
255,Burguer Express,,
256,Bob's,,Bom Despacho
257,Betinho,,
258,O Pacotão,,
259,Doces Momentos,,
260,Site Resolver Questões,,
261,Cantina IF Baiano,,
262,Cons. Nac. Volkswagem,,
263,Irlane,Null,Null
264,Le Biscuit S/A,Null,Null
265,Mapas Mentais,Null,Null
266,Cris Bolos,Null,Null
267,Mercadinho da Orla,Null,Null
268,Rest. Sabores da Terra,Null,Null
269,Espaço Cultural,Null,Null
270,Beleza Animal,(75)3641-4913,Null
271,Livraria Criativa,Null,Null
272,CMV Valença,Null,Null
273,Nil,Null,Null
274,Zé da Veia,Null,Null
275,Elísio do Ar,Null,Null
276,IMasters,Null,Null
277,Posto Líder 2,Null,Null
278,Reprava,Null,Null
279,Shop Timão,Null,Null
280,Viação Novo Horizonte,Null,Null
281,SE Moda Íntima,Null,Null
282,Frigorífico Araújo,Null,Null
283,Supermoda,Null,Null
284,Churrascaria Líder,Null,Null
285,Casas Bahia,Null,Null
286,Estante Virtual,Null,Null
287,Hotel Fazenda Recanto,Null,Null
288,Livraria Moderna,Null,Null
289,Cursos On Line SP,Null,Null
290,Premier Perfumes,Null,Null
291,DC Paula (Recife),Null,Null
292,Feito Por Nós,Null,Null
293,Marisa Antonia (Recife),Null,Null
294,Sabor & Café,Null,Guaibim
295,Bahia Modelismo,Null,Null
296,Mundo Ótica,Null,Null
297,GOL,Null,Null
298,Maria Rocha,Null,Null
299,IFPARAIBA,Null,Null
300,Inbrands(Ellus),Null,Null
301,Zé do Gás,Null,Null
302,Vivara,Null,Null
303,Sistema UNO,Null,Null
304,Planeta Calçados,Null,Null
305,C&A,Null,Null
306,Amazon,Null,Null
307,UNE,Null,Null
308,Hotel Imperial Suites,Null,Null
309,Habibs,Null,Null
310,DC Paula(Recife),Null,Null
311,Kabum,Null,Null
312,Tem de Tudo Software,Null,Null
313,Rafael Libanio,Null,Null
314,Livraria Imperatriz,Null,Null
315,Bolsas E Cia,Null,Null
316,Paulinho Antena,Null,Null
317,Magazine Luiza,Null,Null
318,Peixaria da Esquina,Null,Null
319,Campus Party,Null,Null
320,Memove,Null,Null
321,Udemy,Null,Null
322,Ápice,Null,Null
323,Edineusa Moura,Null,Null
324,Lava Jato Fisk,Null,Null
325,Livraria Fada Madrinha,Null,Recife
326,Livraria Aeroporto - Salvador,Null,Salvador
327,Livraria Aeroporto - Recife,Null,Null
328,Trabalhos Feitos,Null,Null
329,Milene,Null,Null
330,GEAP,Null,Null
331,Submarino,Null,Null
332,Livraria Escrita Fina,Null,Null
333,Disk Água,Null,Null
334,ArtPel Papelaria,Null,Null
335,Mercadinho da Graça,Null,Null
336,PrimeFaces,Null,Null
337,Jeslatic,Null,Null
338,Le Cafe,Null,Null
339,SurveyMonkey,Null,Null
340,Maron Tecidos,Null,Null
341,Emporio Pizzaria,Null,Null
342,Nova Concursos,Null,Null
343,Tecnolegis,Null,Null
344,Rota dos Concursos,Null,Null
345,Feito a Grão,Null,Null
346,ValTur,Null,Null
347,Zé da Água,Null,Null
348,Club do Balanço(Morro),Null,Null
349,Fortes dos Naturais,Null,Null
350,Supermercados C & S,Null,Null
351,Supermercados Dia %,Null,Null
352,Quiosque Gaivota,Null,Null
353,Internacional Marítima,Null,Null
355,Pizzaria La Napoletana - SSA,Null,Null
356,YOSAI,Null,Null
357,Dene Mak,Null,Null
358,Dia Porcento,Null,Null
359,Sheilla,Null,Null
360,APROVA Concursos,Null,Null
361,Frigorífico Araújo,Null,Null
362,Supermercado Doce Preço,Null,Null
363,AABB,Null,Null
364,Cometa Confecções,Null,Null
365,Supermercado Super Lar,Null,No Guaibim
366,RRT Rumo Rápido Transportes,Null,Null
367,American Gourmet,Null,Null
368,Sorveteria Kamelo,Null,Null
369,S. B. Óculos Bijou,Null,Null
370,Astropay - IQ Option,Null,Null
371,YOSAI,Null,Null
372,Consul,Null,Null
373,Cartório de Valença,Null,Null
374,Foto 10,Null,Null
375,Armarinho M. S. Barbosa,Null,Null
376,MARPRON,Null,Null
377,Cantina Biologia - UFBA,Null,Null
378,Arte em Papel,Null,Null
379,TRINCO - SSA,Null,Null
380,Boteco do Diego,Null,Null
381,Cantina AABB,Null,Null
382,Ronald,Null,Da Conect
383,Expresso Modas,Null,Null
384,Panificadora São Félix,Null,Null
385,Panela Brasileira,Null,Null
386,Seven Wonders Café,Null,Null
387,Papel e Cia Ltda,Null,Null
388,La Napolitana Restaurante,Null,Null
389,Shopping Bela Vista,Null,Null
390,AA Global,Null,Null
391,Clínica Delphin,Null,Null
392,Gran Cursos On-line,Null,Null
393,School of Net - Cursos,Null,Null
394,Rápido Federal,Null,Null
395,Alaiannie Global,Null,Null
396,Panif. e Lanc. Joana Angélica,Null,SSA
397,Bela Bolling,Null,SSA
398,UBER,Null,Null
399,Marina Dengosa,Null,Null
400,Rei dos Caldos,Null,Null
401,MEDCENTER,Null,Null
402,Arte em Papel,Null,Null
403,Sal e Brasa,Null,Null
404,Tem Variedades,Null,Null
405,Atacadão dos Remédios,Null,Em Salvador
406,Polishop,Null,Null
407,Huang Yuena,Null,Null
408,Pastelaria e Rest. Sunny,Null,Null
409,Drogasil,Null,Recife
410,Restaurante Chinatown,Null,Null
411,SATT Modas Pria Recife,Null,Null
412,Instituto Ricardo Brennand,Null,Null
413,Bonaparte,Null,Null
414,Restaurante João e Júnior - Recife,Null,Null
415,Catamarã Tours - Recife,Null,Null
416,Supermercado Bom Preço,Null,Null
417,Restaurante Capilé - Recife,Null,Null
418,Restaurante Ilha da Costa I - Recife,Null,Null
419,JMJ Massas Alimentícias,Null,Null
420,Leader Ltda,Null,Null
421,Girafas Com. de Alimentos,Null,Null
422,BV Shopping Alimentos - Recife,Null,Null
423,Julieto - Recife,Null,Null
424,PE Grill Recife Alimentos,Null,Null
425,MET,Null,Null
426,REDBAKE - Recife,Null,Null
427,Porto das Rendas,Null,Null
428,Mar Hotel Conventions,Null,Null
429,Tábua de Mares,Null,Null
430,VB Recife Comércio,Null,Null
431,Célia Maria Bolsas - Porto de Galinhas,Null,Null
432,Quiosque do Imperial Suites,Null,Null
433,Coco Louco,Null,Null
434,Freedom,Null,Null
435,COMART,Null,Null
436,Day Happy,Null,Jequié
437,Chocolândia Confeitaria,Null,Null
438,Mão na Pizza,Null,Null
439,REALCE,Null,Null
440,Kahuli Modas,Null,Null
441,Khaza da Pizza,Null,Null
442,Boris Lanches,Null,Null
443,MM Celular,Null,Null
444,Farmácia 24 horas (Jequié),Null,Null
445,Geraldo Fotografias,Null,Null
446,Mercadinho do Guaibim,Null,Null
447,Chik Dez,Null,Null
448,Farmácia Erioma,Null,Null
449,Kara Kaiada,Null,Null
450,Cabana do Manoel,Null,Null
451,Farmácia Sempre Viva,Null,Null
452,Farmácia e Drogaria Líder,Null,Null
453,Rei do Mate,Null,Null
454,Casa do Pão do Queijo,Null,Null
455,Restaurante Napolitano,Null,Null
456,Pizzaria Dominó,Null,Null
457,M. S. Barbosa Eireli,Null,Armarinho
458,Supermercado Pão Açúcar,Null,Salvador
459,UCI Orient Cinemas,Null,Null
460,Oriental Praia Hotel,Null,Null
461,999,Null,Salvador
462,Vivenda do Camarão,Null,Null
463,99 Pop Táxi,Null,Null
464,Google Play Google Storag,Null,Null
465,Tec Concursos,Null,Null
466,Restaurante do Mar,Null,Salvador
467,Boteco do Muamba,Null,Null
468,Lojas Josileide,Null,Null
469,Kara Kaiada,Null,Null
470,Boticário Perfumes,Null,Null
471,Hamplia,Null,Concursos
472,RLSYSTEM,Null,Null
473,Adailton Pneus,Null,Null
474,Hotel Pirâmide,Null,Null
475,Ouro Chaves,Null,Null
476,Yan Ping,Null,Null
477,Crie & Borde Armarinho,Null,Null
478,ARF BA Bijouteria,Null,Null
480,Zé do Mel,Null,Null
481,Loja Bambinos,Null,Null
482,Supermercado Mix Bahia,Null,Null
483,Raytheo,Null,Null
484,Google Play,Null,Null
485,Anny Moda Bijuterias,Null,Null
486,Lay do Sofá,Null,Null
487,RR Variedades,Null,Null
488,Sara Carvalho Gusmão,Null,Null
489,Pizzaria Coquerais,Null,Null
490,Karla dos Santos e Santos,Null,Null
491,Arca Modas,Null,Null
492,Chapeu no Morro,Null,Null
493,Supermercado Super P,Null,Null
494,Pref. de Cairu,Null,Null
495,Point 999 - Morro,Null,Null
496,Lojas BIG (Jequié),Null,Null
497,Pizzaria Gema de Ovo(Jequié),Null,Null
498,Churrascaria Tradição,Null,Null
499,Manoel do gás,Null,Null
500,Cantinho da Carne,Null,Null
501,SCRIBDB,Null,Null
502,Poupas Valença,Null,Null
503,Aparecida Vilas Boas,Null,Null
504,Vanuza Cardoso (Mercadinho),Null,Null
505,Katucha Leite,Null,Null
506,TREINAWEB,Null,Null
507,Netflix,Null,Null
508,Hortifruti Zoi de Gato,Null,Null
509,Zirondi,Null,Null
510,MAQTEC,Null,Null
511,Sacolão Zoi de Gato,Null,Null
512,IGTI,Null,Null
513,Django Pro (HotMart),Null,Null
514,Python Pro,Null,Null
515,Casa do Código,Null,Null
516,Kyria Cabelos,Null,Null
517,Gileno Cabelereiro,Null,Null
518,Skala Modas,Null,Null
519,Supermoda,Null,Null
520,Pizzaria Guaibim Delivery,Null,Null
521,Hostinger,Null,Null
522,DevMedia,Null,Null
523,Açaí Pareaki,Null,Null
524,Mapron,Null,Null
525,Loja Top 12,Null,Null
526,Hashtag Treinamentos,Null,Null
527,Armarinho Crie e Borde,Null,Null
528,Tend Tudo Festa,Null,Null
529,Pizzaria do Jasson,Null,Null
530,Supermercado Solar,Null,Null
531,Poupa de Frutas Beija Flor,Null,Null
532,Supermercado Menor Preço,Null,Null
533,DeneMark Celulares,Null,Null
534,Panificadora do Tales,Null,Null
535,Supermercado da Orla,Null,Null
536,Salão de Kira,Null,Null
537,Passei Direto,Null,Null
538,Estratégia Concursos,Null,Null
539,Panificadora Favo de Mel,Null,Null
540,Henrique Bastos,Null,Null
541,Horti Fruti do Guaibim,Null,Null
542,Romário Drink,Null,Null
543,Uber de Erasmo,Null,Null
544,Davi de Santana,Null,Null
